"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000025597.9",145.602512545143,-10.2329002298306,3.10915347093099,3.36920065282798e-09,3.47599439021074e-08,"Klhl4","ENSMUSG00000025597"
"ENSMUSG00000025889.9",18762.8915184941,9.32854982388071,0.382033393382855,3.86389183185696e-132,9.02310740163168e-130,"Snca","ENSMUSG00000025889"
"ENSMUSG00000026211.13",73.9163260047814,-8.01839484964667,3.45387030844377,8.652168500049e-05,0.000459201670175761,"Obsl1","ENSMUSG00000026211"
"ENSMUSG00000026532.7",133401.750392321,8.76503507843239,0.588140611488535,1.76288024658811e-51,9.06835461112038e-50,"Spta1","ENSMUSG00000026532"
"ENSMUSG00000026567.12",50.2609142164231,10.0329779642026,3.92493944922194,4.32146604654134e-05,0.000244059149622711,"Adcy10","ENSMUSG00000026567"
"ENSMUSG00000026614.6",472.321404524398,13.2141053783071,2.8044716078787,1.78528956955731e-16,3.16447953582255e-15,"Slc30a10","ENSMUSG00000026614"
"ENSMUSG00000026817.10",56.6809953878296,-8.11624113233119,3.06323866430598,7.03016971565559e-06,4.65681480669631e-05,"Ak1","ENSMUSG00000026817"
"ENSMUSG00000027171.6",292.105939303181,-10.8972829633061,3.09303905733623,1.47142909614015e-11,1.87588083729756e-10,"Prrg4","ENSMUSG00000027171"
"ENSMUSG00000027318.13",141.629490801999,12.3615777223428,3.04095414570445,2.13102820553195e-12,2.88689566848858e-11,"Adam33","ENSMUSG00000027318"
"ENSMUSG00000027399.1",27.9516234291666,8.73979793595789,3.66046368108026,9.57776661352205e-05,0.000503626914420942,"Il1a","ENSMUSG00000027399"
"ENSMUSG00000027750.12",71.0241025348483,-8.75006460419279,3.41943115838085,1.86957133328404e-05,0.000113940072308512,"Postn","ENSMUSG00000027750"
"ENSMUSG00000027861.9",62.2770974673927,11.1775974330052,4.10769202210365,1.92634710790494e-05,0.000116964171075103,"Casq2","ENSMUSG00000027861"
"ENSMUSG00000028328.9",7079.9341993364,11.7404189152261,0.775135780724781,9.90181606639946e-54,5.41544676464197e-52,"Tmod1","ENSMUSG00000028328"
"ENSMUSG00000028402.13",75.4960205966215,-8.69025057441177,3.19391033350405,4.43904228128379e-06,3.02768614011345e-05,"Mpdz","ENSMUSG00000028402"
"ENSMUSG00000029153.8",103.741130518373,-9.03674056436202,3.1213790074515,7.09263560455234e-07,5.53858041476508e-06,"Ociad2","ENSMUSG00000029153"
"ENSMUSG00000029601.9",237.282232081714,13.3745499966375,2.82277447215332,2.39106896185109e-17,4.40267916980642e-16,"Iqcd","ENSMUSG00000029601"
"ENSMUSG00000029866.9",26612.8357564065,8.73062288314932,0.629496129285542,6.01731174419479e-45,2.59609062699688e-43,"Kel","ENSMUSG00000029866"
"ENSMUSG00000030643.9",529.534226629828,8.90590948409449,1.23343995796614,4.88123846950716e-15,7.87420837317866e-14,"Rab30","ENSMUSG00000030643"
"ENSMUSG00000030699.12",232.718787803737,8.5057660956174,1.11055943923136,3.98456522273693e-16,6.90470242130809e-15,"Tbx6","ENSMUSG00000030699"
"ENSMUSG00000030849.13",49.1326188594697,9.70869271897147,3.94626083753018,6.64292754108479e-05,0.000359965929961103,"Fgfr2","ENSMUSG00000030849"
"ENSMUSG00000030878.10",24098.0266148926,9.07315322605587,0.646872791199957,6.67946621623202e-46,2.97782748403653e-44,"Cdr2","ENSMUSG00000030878"
"ENSMUSG00000030981.5",48.9621477056258,9.48312533407782,4.51904066624916,0.000236829767483228,0.00113345463214484,"Mmp21","ENSMUSG00000030981"
"ENSMUSG00000031024.8",4768.50390607732,8.04686837767395,0.435428209397083,3.04350867842334e-77,2.61848536122597e-75,"Dennd2b","ENSMUSG00000031024"
"ENSMUSG00000031283.11",91.6666119238483,10.0568147224184,3.11141173170923,6.00191758584883e-07,4.74477224734057e-06,"Chrdl1","ENSMUSG00000031283"
"ENSMUSG00000031302.12",92.2940155056608,11.2161806206982,3.33222949956622,9.34459320323024e-08,8.17346344862802e-07,"Nlgn3","ENSMUSG00000031302"
"ENSMUSG00000031380.10",127.477221488824,10.3316886073634,3.12584417186135,3.18739469000414e-07,2.61242065065966e-06,"Vegfd","ENSMUSG00000031380"
"ENSMUSG00000031530.6",71.3247732079407,-8.05795629128071,3.63477865372086,0.000146413441815733,0.00073818867580297,"Dusp4","ENSMUSG00000031530"
"ENSMUSG00000031543.14",83425.1235630664,8.55239109962008,0.722234575893374,1.22642248738629e-33,3.93096462623685e-32,"Ank1","ENSMUSG00000031543"
"ENSMUSG00000031698.10",7252.11872455654,8.14964169366751,0.519922073632681,2.10921278619957e-56,1.25123945607129e-54,"Mylk3","ENSMUSG00000031698"
"ENSMUSG00000031789.12",94.837663403689,-9.2664715712289,3.14396558401548,4.1387581125005e-07,3.32547293015332e-06,"Cngb1","ENSMUSG00000031789"
"ENSMUSG00000031880.6",72.7895769551588,-8.81556383080064,3.07311584844231,8.49328793747987e-07,6.56611939759348e-06,"Rrad","ENSMUSG00000031880"
"ENSMUSG00000031893.6",50.6389771210512,9.46697388380847,4.53206083521663,0.000240628261445901,0.00114976387865934,"Tsnaxip1","ENSMUSG00000031893"
"ENSMUSG00000032125.15",99.4116681837425,-9.61168369035716,3.09251644439725,4.42935450584318e-08,4.05001016096736e-07,"Robo4","ENSMUSG00000032125"
"ENSMUSG00000032174.4",149.189475888319,12.5205550234778,3.06813783119328,7.6184669939776e-13,1.06139096984279e-11,"Icam5","ENSMUSG00000032174"
"ENSMUSG00000032278.7",118.196127903414,-9.64612970048065,3.13262595184983,7.63906479749805e-08,6.74585361949528e-07,"Paqr5","ENSMUSG00000032278"
