"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000021143.9",2052.5025803545,1.52124300090859,0.255043371832184,7.75940485056802e-10,8.60258961277745e-09,"Pacs2","ENSMUSG00000021143"
"ENSMUSG00000021149.7",2655.40293161838,-1.18823394977406,0.285912549546092,1.4791656180421e-05,9.22096803925226e-05,"Gtpbp4","ENSMUSG00000021149"
"ENSMUSG00000021156.12",1970.02063466603,-1.05695971381188,0.415777550531945,0.00528202319637714,0.0175350298538311,"Zmynd11","ENSMUSG00000021156"
"ENSMUSG00000021171.7",4931.32318727393,0.862600709335701,0.27140887812492,0.000953285383392251,0.00396067059036057,"Esyt2","ENSMUSG00000021171"
"ENSMUSG00000021175.11",2075.10039571919,-1.35714950954801,0.387746299686766,0.000166628175163912,0.000830712881400023,"Cdca7l","ENSMUSG00000021175"
"ENSMUSG00000021180.8",1082.83675561981,-0.965251681473948,0.283694293502046,0.000379701772060323,0.00174458852921658,"Rps6ka5","ENSMUSG00000021180"
"ENSMUSG00000021182.10",9865.09084520172,3.13134414188078,0.174312443653892,3.0907413672338e-73,2.51220922622893e-71,"Ccdc88c","ENSMUSG00000021182"
"ENSMUSG00000021189.7",3029.78667151741,0.693702435806108,0.304271891662974,0.0164964169893361,0.0460784672008948,"Atxn3","ENSMUSG00000021189"
"ENSMUSG00000021190.10",549.680730111247,4.04636741792669,0.552323832090249,1.77254919900962e-14,2.74502566482416e-13,"Lgmn","ENSMUSG00000021190"
"ENSMUSG00000021193.9",4990.29534910459,1.19145438159935,0.340486402460933,0.000209520034675476,0.00101798505619076,"Pitrm1","ENSMUSG00000021193"
"ENSMUSG00000021203.11",1848.69900909045,5.51375827952905,0.34254925246767,2.97213564719891e-59,1.87665492023993e-57,"Otub2","ENSMUSG00000021203"
"ENSMUSG00000021211.3",63.2780240242801,-6.86187324426665,3.95749346958431,0.000875652769220493,0.00367130337440065,"Akr1c12","ENSMUSG00000021211"
"ENSMUSG00000021213.7",403.723201699153,-2.91733788239152,1.20306900697894,0.000903537221282067,0.00377852177359345,"Akr1c13","ENSMUSG00000021213"
"ENSMUSG00000021217.7",36.0045672156381,-6.30134572855527,3.5792869336479,0.000890766648005934,0.00372935655249383,"Tshz3","ENSMUSG00000021217"
"ENSMUSG00000021221.11",2482.95175418364,7.04254502631321,0.415714339457382,3.90907045556166e-65,2.67489509498712e-63,"Dpf3","ENSMUSG00000021221"
"ENSMUSG00000021226.7",255.737737041801,-1.39803144259834,0.583282291692443,0.00493386530116654,0.0165723804362471,"Acot2","ENSMUSG00000021226"
"ENSMUSG00000021235.9",177.391484065528,-3.65624729991531,1.31592927863482,0.00026324220449247,0.00124568006191483,"Coq6","ENSMUSG00000021235"
"ENSMUSG00000021236.12",1130.09803945634,-1.46449447259344,0.430774190026367,0.000197480177246601,0.00096836042636748,"Entpd5","ENSMUSG00000021236"
"ENSMUSG00000021241.6",568.945723309599,1.08227273507289,0.428796417026543,0.00557541010372051,0.0183666443004783,"Isca2","ENSMUSG00000021241"
"ENSMUSG00000021242.8",1656.77401465841,0.840864914477971,0.283881393370301,0.0020098221865371,0.00764241509649361,"Npc2","ENSMUSG00000021242"
"ENSMUSG00000021250.9",8732.76450965743,-3.78004022470453,0.303403732943853,1.12646204336734e-36,3.93646308361529e-35,"Fos","ENSMUSG00000021250"
"ENSMUSG00000021256.5",24.3784469646761,-5.70544548935018,3.80120496084644,0.00178038894093291,0.00688204994718994,"Vash1","ENSMUSG00000021256"
"ENSMUSG00000021258.9",556.255480433952,2.10366124826776,0.430682258312833,1.78310401167822e-07,1.50585830805393e-06,"Ccnk","ENSMUSG00000021258"
"ENSMUSG00000021273.9",1092.84081294103,1.16417804850229,0.344687041091082,0.000333028801818784,0.00154901034851658,"Fdft1","ENSMUSG00000021273"
"ENSMUSG00000021277.12",725.094250217676,-0.895283381421605,0.385475351712226,0.0115217086764929,0.0342369981919941,"Traf3","ENSMUSG00000021277"
"ENSMUSG00000021281.11",11000.7553786249,5.26226786134971,0.523538161211902,6.3720598948057e-25,1.55208187371492e-23,"Tnfaip2","ENSMUSG00000021281"
"ENSMUSG00000021282.12",32595.0279103296,4.09190383479004,0.219354333630078,1.0860253813163e-78,9.56742838917688e-77,"Eif5","ENSMUSG00000021282"
