"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000028370.7",55.1447285646071,-7.60598746222303,2.54127215652021,-2.99298421961935,0.00276264033317154,0.0495054379800483,"Pappa","ENSMUSG00000028370"
"ENSMUSG00000028402.13",75.4960205966215,-4.52238662532077,1.29210467896293,-3.50001567129261,0.000465230806689431,0.0129876197875046,"Mpdz","ENSMUSG00000028402"
"ENSMUSG00000028497.8",725.91528782898,-2.70232403493413,0.373345229068173,-7.23813731778178,4.54888759593552e-13,3.52227549007386e-10,"Hacd4","ENSMUSG00000028497"
"ENSMUSG00000028874.10",638.325738168742,-3.11058326976477,0.479946962708862,-6.48109793675612,9.10575385098682e-11,3.26741099160288e-08,"Fgr","ENSMUSG00000028874"
"ENSMUSG00000029075.6",37.5914344869351,-8.55911640051996,2.46028286491479,-3.47891558429254,0.000503447148525278,0.0136814389187995,"Tnfrsf4","ENSMUSG00000029075"
"ENSMUSG00000029082.13",139.884649319195,-9.6794253147604,1.66226691291212,-5.82302712011698,5.77911729084666e-09,1.19749821947797e-06,"Bst1","ENSMUSG00000029082"
"ENSMUSG00000029086.11",411.194586713297,-2.19627575037551,0.564561983850354,-3.89022961729862,0.000100149411379878,0.00395251639201878,"Prom1","ENSMUSG00000029086"
"ENSMUSG00000029122.7",24.8967974205547,-10.3481970578287,3.40697098156166,-3.03735990527439,0.00238660313364602,0.0443329612401518,"Evc","ENSMUSG00000029122"
"ENSMUSG00000029167.9",55.2951706057051,-4.21627098092946,1.17421654424428,-3.59070990917015,0.00032977851738273,0.0102790287028278,"Ppargc1a","ENSMUSG00000029167"
"ENSMUSG00000029299.10",368.485286957861,-6.32876893008024,0.868486520034279,-7.28712396115307,3.16641546226747e-13,2.58801690449328e-10,"Abcg3","ENSMUSG00000029299"
"ENSMUSG00000029314.10",72.260917667021,-7.6269634734718,1.71093830762522,-4.45776650127029,8.28180421197909e-06,0.000520691895583916,"Gpat3","ENSMUSG00000029314"
