"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_id"
"ENSMUSG00000001763.10",17541.391665179,1.91576594588424,0.249919880468297,7.66552041516066,1.78107532067867e-14,2.17209553844887e-11,"Tspan33","ENSMUSG00000001763"
"ENSMUSG00000001865.2",977.003329479034,2.14788248766558,0.440642190722601,4.87443674910772,1.09119339148822e-06,9.7888031558382e-05,"Cpa3","ENSMUSG00000001865"
"ENSMUSG00000001930.13",1372.92850637604,1.42699285108849,0.381214014648061,3.74328538893277,0.000181629737643776,0.00639267153161538,"Vwf","ENSMUSG00000001930"
"ENSMUSG00000001986.12",998.211302274508,1.3234088725255,0.406921855390054,3.25224328699905,0.00114497972289077,0.0257624214534111,"Gria3","ENSMUSG00000001986"
"ENSMUSG00000002565.12",159.26366767795,2.41565237607669,0.631349906946703,3.82617047931332,0.000130152171650753,0.00489718350211222,"Scin","ENSMUSG00000002565"
"ENSMUSG00000002900.11",40.3731657440728,8.70051745019124,2.65384329217117,3.27845938599983,0.00104375382650371,0.0241799955744472,"Lamb1","ENSMUSG00000002900"
"ENSMUSG00000002985.11",4373.64726769709,1.55929629296683,0.356599456316375,4.37268275469108,1.22729003723841e-05,0.000719358208280937,"Apoe","ENSMUSG00000002985"
"ENSMUSG00000003032.8",271.825300986508,-1.86932224672072,0.605820354005642,-3.08560488989993,0.00203138561221913,0.039460173046511,"Klf4","ENSMUSG00000003032"
"ENSMUSG00000003153.6",1866.88577182346,-1.5606358031142,0.278492330243577,-5.60387354922567,2.09613655573128e-08,3.39490276637965e-06,"Slc2a3","ENSMUSG00000003153"
"ENSMUSG00000003178.7",3074.0365712639,1.77025462292244,0.314941021569712,5.6209083659513,1.89956013122866e-08,3.14003692703775e-06,NA,"ENSMUSG00000003178"
"ENSMUSG00000003282.5",298.565284383937,-2.56329331920051,0.796115598326231,-3.219750152603,0.0012830236541708,0.0278404778763434,"Plag1","ENSMUSG00000003282"
"ENSMUSG00000003283.9",838.607489503226,-1.91345774333919,0.595623004136992,-3.2125316350258,0.00131570657680594,0.0283822216392506,"Hck","ENSMUSG00000003283"
"ENSMUSG00000003363.11",1393.61851835462,-1.4403066303853,0.323834100841777,-4.44766819381082,8.68074824585551e-06,0.000543451779544792,"Pld3","ENSMUSG00000003363"
"ENSMUSG00000003418.11",346.868695804129,3.12741322860406,0.520069753364819,6.01344955819847,1.8161646071468e-09,4.11067903082212e-07,"St8sia6","ENSMUSG00000003418"
"ENSMUSG00000003420.7",298.244901387162,-2.03146160164815,0.460308438128777,-4.41326170318829,1.01824785520431e-05,0.000616479936039748,"Fcgrt","ENSMUSG00000003420"
"ENSMUSG00000003545.2",2371.03050894148,-1.61292006347654,0.442023484000023,-3.64894654211734,0.000263317885723176,0.008666516185144,"Fosb","ENSMUSG00000003545"
"ENSMUSG00000003746.11",9802.67353767976,-0.689278057224902,0.171095210603011,-4.02862274633871,5.6104565399026e-05,0.002493686906799,"Man1a","ENSMUSG00000003746"
"ENSMUSG00000003949.12",1033.48529114447,-3.25928183510992,0.771626664032052,-4.22391032741001,2.40099614438354e-05,0.00122226488844881,"Hlf","ENSMUSG00000003949"
"ENSMUSG00000004264.13",2957.54709187347,0.754104954963897,0.20963801852759,3.5971765057713,0.000321690199837443,0.0100910580383976,"Phb2","ENSMUSG00000004264"
